#Turn FSMs Foods
0 1 429.0
1 1 610.0
2 1 885.0
3 2 1129.0
4 2 1350.0
5 2 1594.0
6 1 1823.0
7 2 2011.0
8 2 2232.0
9 4 2497.0
10 4 2759.0
11 4 2962.0
12 2 3199.0
13 3 3413.0
14 4 3640.0
15 6 3859.0
16 5 4079.0
17 4 4287.0
18 6 4536.0
19 7 4531.0
20 12 4529.0
21 14 4519.0
22 19 4518.0
23 16 4506.0
24 21 4503.0
25 19 4491.0
26 28 4486.0
27 23 4476.0
28 20 4474.0
29 18 4465.0
30 22 4462.0
31 22 4452.0
32 23 4450.0
33 17 4442.0
34 15 4441.0
35 12 4434.0
36 15 4432.0
37 17 4423.0
38 26 4415.0
39 32 4402.0
40 32 4394.0
41 31 4383.0
42 32 4373.0
43 33 4359.0
44 35 4351.0
45 37 4335.0
46 40 4324.0
47 41 4310.0
48 40 4296.0
49 42 4285.0
50 47 4265.0
51 55 4253.0
52 47 4235.0
53 49 4224.0
54 54 4202.0
55 70 4177.0
56 77 4153.0
57 74 4130.0
58 70 4110.0
59 65 4093.0
60 60 4074.0
61 65 4058.0
62 66 4030.0
63 74 4015.0
64 67 3986.0
65 70 3977.0
66 68 3948.0
67 81 3922.0
68 92 3899.0
69 78 3879.0
70 73 3855.0
71 88 3830.0
72 88 3800.0
73 97 3766.0
74 111 3733.0
75 111 3706.0
76 101 3668.0
77 107 3643.0
78 102 3608.0
79 111 3581.0
80 113 3535.0
81 135 3496.0
82 138 3449.0
83 128 3430.0
84 116 3391.0
85 128 3360.0
86 127 3314.0
87 121 3285.0
88 118 3250.0
89 114 3216.0
90 119 3180.0
91 117 3149.0
92 115 3108.0
93 133 3058.0
94 145 3026.0
95 133 2987.0
96 126 2951.0
97 140 2903.0
98 142 2864.0
99 135 2818.0
100 133 2785.0
101 125 2749.0
102 128 2711.0
103 126 2671.0
104 140 2633.0
105 148 2592.0
106 149 2545.0
107 153 2501.0
108 140 2467.0
109 130 2435.0
110 123 2396.0
111 130 2359.0
112 129 2323.0
113 134 2277.0
114 141 2237.0
115 143 2191.0
116 146 2152.0
117 134 2106.0
118 134 2079.0
119 136 2029.0
120 141 1998.0
121 126 1945.0
122 129 1917.0
123 131 1874.0
124 132 1837.0
125 130 1806.0
126 125 1770.0
127 127 1733.0
128 126 1693.0
129 117 1660.0
130 126 1609.0
131 145 1580.0
132 122 1535.0
133 122 1504.0
134 122 1468.0
135 119 1431.0
136 119 1404.0
137 112 1374.0
138 103 1341.0
139 97 1316.0
140 90 1292.0
141 84 1259.0
142 111 1232.0
143 105 1197.0
144 93 1177.0
145 82 1152.0
146 80 1128.0
147 98 1093.0
148 110 1061.0
149 113 1031.0
150 98 1004.0
151 93 974.0
152 103 947.0
153 102 915.0
154 108 884.0
155 111 845.0
156 127 809.0
157 131 760.0
158 138 726.0
159 127 695.0
160 116 661.0
161 118 636.0
162 104 607.0
163 90 581.0
164 94 552.0
165 100 526.0
166 103 488.0
167 122 457.0
168 118 415.0
169 108 390.0
170 84 370.0
171 82 352.0
172 78 325.0
173 84 306.0
174 70 289.0
175 62 273.0
176 61 257.0
177 67 235.0
178 77 207.0
179 87 182.0
180 82 169.0
181 62 158.0
182 52 142.0
183 47 130.0
184 43 121.0
185 46 104.0
186 48 90.0
187 53 67.0
188 56 57.0
189 41 48.0
190 33 45.0
191 26 40.0
192 21 34.0
193 20 31.0
194 18 26.0
195 14 26.0
196 7 26.0
197 3 26.0
198 1 26.0
199 0 26.0
