# Created by Octave 4.2.2, Wed Jun 03 16:18:54 2020 PDT <jordan@WCLaptop>
# name: conversion_results
# type: matrix
# rows: 89
# columns: 2
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.92
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.92
 0.11 0.93
 0.11 0.92
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.92
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.92
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.92
 0.11 0.92
 0.11 0.93
 0.11 0.93
 0.11 0.92
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.92
 0.11 0.93
 0.11 0.92
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.92
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.93
 0.11 0.92
 0.11 0.93


