# Created by Octave 4.2.2, Sat Jun 06 19:31:09 2020 PDT <jordan@WCLaptop>
# name: conversion_results
# type: matrix
# rows: 84
# columns: 2
 0.23 4.37
 0.23 4.31
 0.23 4.37
 0.23 4.59
 0.23 4.52
 0.23 4.359999999999999
 0.23 4.4
 0.23 4.4
 0.23 4.32
 0.23 4.359999999999999
 0.22 4.62
 0.23 4.34
 0.23 4.32
 0.23 4.42
 0.23 4.35
 0.22 4.65
 0.22 4.6
 0.23 4.33
 0.23 4.41
 0.23 4.41
 0.23 4.45
 0.23 4.32
 0.23 4.44
 0.23 4.5
 0.23 4.38
 0.23 4.43
 0.22 4.35
 0.23 4.51
 0.23 4.33
 0.23 4.38
 0.23 4.42
 0.23 4.54
 0.23 4.31
 0.23 4.51
 0.23 4.43
 0.23 4.26
 0.23 4.52
 0.23 4.300000000000001
 0.23 4.28
 0.23 4.46
 0.23 4.32
 0.22 4.41
 0.23 4.52
 0.23 4.46
 0.23 4.41
 0.23 4.34
 0.23 4.35
 0.23 4.54
 0.23 4.34
 0.23 4.48
 0.23 4.23
 0.23 4.46
 0.23 4.32
 0.23 4.31
 0.22 4.5
 0.23 4.470000000000001
 0.23 4.51
 0.22 4.67
 0.23 4.28
 0.23 4.48
 0.23 4.38
 0.23 4.300000000000001
 0.23 4.41
 0.23 4.220000000000001
 0.23 4.359999999999999
 0.23 4.54
 0.23 4.43
 0.23 4.53
 0.23 4.4
 0.23 4.28
 0.22 4.67
 0.23 4.359999999999999
 0.23 4.27
 0.23 4.2
 0.23 4.33
 0.23 4.44
 0.23 4.38
 0.22 4.48
 0.22 4.38
 0.22 4.65
 0.23 4.45
 0.23 4.42
 0.22 4.41
 0.23 4.4


